Name,Money,Date,Tipo Texto,Compartido
Gasolina,"60,62 €",7 de marzo de 2024,Gasolina,No
Bola para Ana,"6,65 €",8 de marzo de 2024,Regalos Hechos,No
Recreativas,"10,00 €",9 de marzo de 2024,Otros Entretenimiento,No
Regalo Cecilia,"47,95 €",9 de marzo de 2024,Regalos Hechos,No
Consola R36S,"49,07 €",11 de marzo de 2024,Videojuegos,No
Comida,"11,07 €",12 de marzo de 2024,Comida Diaria,No
"Tarjeta SD ","19,99 €",12 de marzo de 2024,PC,No
Bola para ana,"7,50 €",14 de marzo de 2024,Regalos Hechos,No
Carrefour,"8,77 €",14 de marzo de 2024,Comida Diaria,No
Consola R36S,"53,00 €",15 de marzo de 2024,Videojuegos,No
2 Burguers,"60,00 €",15 de marzo de 2024,Gastos Compartidos,No
Carcasa GBA,"5,73 €",18 de marzo de 2024,Hobbies,No
Libro para padre de Ana,"19,90 €",18 de marzo de 2024,Préstamo Hecho,No
Taxis Valencia,"90,15 €",18 de marzo de 2024,Bus/Taxi/Tren,No
Regalo Papa,"10,75 €",18 de marzo de 2024,Regalos Hechos,No
Comida invitar a Ce y Ja,"15,85 €",18 de marzo de 2024,Comida Fuera,No
Pepito,"4,00 €",19 de marzo de 2024,Comida Diaria,No
Croissants,"8,40 €",19 de marzo de 2024,Comida Diaria,No
Tren a Madrid,"39,88 €",20 de marzo de 2024,Bus/Taxi/Tren,No
Taxis Valencia,"90,15 €",20 de marzo de 2024,Bus/Taxi/Tren,No
Taxi a la estación,"7,50 €",20 de marzo de 2024,Bus/Taxi/Tren,No
Gasolina,"61,83 €",21 de marzo de 2024,Gasolina,No
Adaptador Internet y tile que devolveré,"29,98 €",21 de marzo de 2024,Otros Casa,No
Olor del coche,"7,89 €",21 de marzo de 2024,Otros Transporte,No
Pago Petronela,"120,00 €",21 de marzo de 2024,Gastos Compartidos,No
Kiwoko,"40,19 €",21 de marzo de 2024,Gastos Compartidos,No
Para pagar el Gas,"76,00 €",21 de marzo de 2024,Gastos Compartidos,No
Cena,"6,40 €",21 de marzo de 2024,Comida Diaria,No
Tarjeta regalo Ana,"23,94 €",21 de marzo de 2024,Regalos Hechos,No
Carnaval,"56,45 €",22 de marzo de 2024,Gastos Compartidos,Yes
Saladar,"7,09 €",25 de marzo de 2024,Gastos Compartidos,No
Noray,"92,90 €",25 de marzo de 2024,Gastos Compartidos,Yes
Mercadona,"21,45 €",25 de marzo de 2024,Gastos Compartidos,No
Saladar,"1,40 €",26 de marzo de 2024,Gastos Compartidos,No
Gasolina,"62,49 €",28 de marzo de 2024,Gasolina,No
Nómina Marzo,"2041,20 €",29 de marzo de 2024,Salario,No
Para Boda,"-150,00 €",29 de marzo de 2024,Ahorro,No
Compartido Marzo,"650,00 €",30 de marzo de 2024,Gastos Compartidos,No
Devolver taxi y tren a ana,"96,21 €",30 de marzo de 2024,Devoluciones Préstamos,No
Pago a Ana por la BODA,"650,00 €",30 de marzo de 2024,Boda,No
Ajuste,"20,60 €",31 de marzo de 2024,Gastos Compartidos,No
Adaptador Internet y tile que devolveré,"19,99 €",31 de marzo de 2024,Otros Casa,No
Chino,"6,70 €",2 de abril de 2024,Comida Diaria,No
Chino,"2,55 €",3 de abril de 2024,Comida Diaria,No
Come fuera con Estos,"21,00 €",4 de abril de 2024,Comida Fuera,No
Devolucion Nothing ear,"119,00 €",5 de abril de 2024,Capricho,No
Carrefour,"3,15 €",5 de abril de 2024,Comida Diaria,No
Costco,"32,00 €",6 de abril de 2024,Ropa,No
Aliexpress GBA boda,"10,98 €",6 de abril de 2024,Hobbies,No
Bolos,"12,00 €",11 de abril de 2024,Hobbies,No
Costco,"8,99 €",11 de abril de 2024,Comida Diaria,No
Lidl,"2,37 €",11 de abril de 2024,Comida Diaria,No
Come fuera,"5,45 €",11 de abril de 2024,Comida Diaria,No
Mercadona,"7,08 €",12 de abril de 2024,Comida Diaria,No
